MFCC_1;MFCC_2;MFCC_3;MFCC_4;MFCC_5;MFCC_6;MFCC_7;MFCC_8;MFCC_9;MFCC_10;MFCC_11;MFCC_12;MFCC_13;AVG_1;AVG_2;AVG_3;AVG_4;AVG_5;AVG_6;AVG_7;AVG_8;AVG_9;AVG_10;AVG_11;AVG_12;AVG_13;Palabra
57,41;1,45;-2;-0,03;0,48;0,65;0,33;-0,53;0,16;0,5;-0,51;-0,51;0,57;47,73;1,09;-0,8;0,46;-0,02;0,42;-0,14;0,07;-0,17;0,31;0,02;-0,22;0,02;3
56,48;1,15;-0,99;-0,8;-0,14;0,46;0,29;-0,34;0,01;0,28;-0,14;0,39;-0,17;49,05;1,03;-0,98;0,3;-0,08;0,4;-0,13;0,03;-0,12;0,36;-0,05;-0,18;0,01;3
43,62;3,2;0,6;0,69;0,41;0,97;0,4;-0,21;-0,54;0,38;0,81;0,61;0,14;49,42;1,17;-0,85;0,25;-0,1;0,45;-0,08;0,01;-0,12;0,39;0,05;-0,11;0,08;3
44,03;0,54;1,29;1,05;0,01;0,61;-0,1;0,51;0,82;0,02;-0,35;0,72;0,28;49,39;1,15;-0,76;0,3;-0,16;0,42;-0,12;0,04;-0,01;0,38;0,04;0,02;0,13;3
43,45;0,35;1,06;0,48;-0,38;0,93;0,94;1,03;0,47;0,07;0,06;0,7;0,5;49,62;1,01;-0,68;0,31;-0,19;0,52;-0,01;0,16;0,05;0,38;0,07;0,08;0,24;3
40,35;3,2;0,12;0,91;0,45;0,65;-0,16;0,12;0,14;0,03;0,14;0,05;-0,13;49,61;1,12;-0,69;0,28;-0,19;0,62;-0,01;0,16;0,05;0,35;0,08;0,09;0,3;3
41,87;1,5;0,26;0,39;0,1;0,59;0,48;-0,16;-0,7;-0,35;-0,15;0,06;-0,19;49,57;1,25;-0,69;0,27;0,01;0,63;0,16;0,12;0,08;0,36;0,09;0,17;0,35;3
40,66;2,75;0,07;1,12;-0,28;0,67;0,68;0,5;-0,03;0,25;-0,05;0,21;0,16;48,39;1,42;-0,47;0,38;0,11;0,62;0,3;0,15;0,1;0,29;0,08;0,24;0,34;3
43,65;0,1;1,07;0,44;0,03;1,36;0,45;-0,06;-0,01;-0,91;0,09;-0,13;0,13;47,06;1,36;-0,09;0,42;0,13;0,7;0,33;0,11;0,08;0,13;0,03;0,23;0,22;3
43,79;-1,09;0,87;-0,3;-0,62;0,9;-0,27;-0,42;0,19;-0,35;0,09;-0,07;0,46;45,53;1,31;0,24;0,4;0,01;0,78;0,3;0,04;0,05;-0,01;0;0,2;0,17;3
45,24;0,05;-0,25;-0,53;-1,37;0,18;-0,38;-0,08;-0,17;-0,09;-0,19;-0,37;0,14;44,31;1,17;0,41;0,34;-0,18;0,73;0,23;0,09;0,02;-0,07;0,03;0,22;0,13;3
56,16;2,49;-2,91;0,8;-0,58;0,46;-0,38;0,16;0,18;1,06;-0,05;-0,48;0,09;44,28;1,31;0,22;0,51;-0,22;0,73;0,17;0,14;0,04;0,01;0,04;0,13;0,16;3
58,5;0,27;-2,57;0,02;0,32;0,55;0,06;-0,51;0,4;1,03;0,2;0,2;0,68;45,77;1,02;-0,1;0,44;-0,23;0,69;0,13;0,11;0,13;0,08;-0,02;0,09;0,21;3
58,36;-0,14;-2,37;-0,85;-0,04;0,91;0,46;-0,28;0,24;1,14;0,47;0,53;0,93;47,2;0,95;-0,46;0,25;-0,24;0,72;0,19;0,03;0,07;0,19;0,06;0,07;0,28;3
55,39;2,06;-0,28;-0,83;-0,81;0,64;0,34;-0,28;-0,45;-0,2;0,13;0,21;-0,19;48,4;1,12;-0,6;0,12;-0,28;0,69;0,13;-0,1;-0,02;0,16;0,07;0,02;0,21;3
47,78;0,74;0,42;0,52;0,3;0,43;0,24;0,38;0,41;0,47;0,1;-0,04;-0,23;49,14;0,87;-0,57;0,08;-0,29;0,67;0,17;-0,07;0,01;0,2;0,06;0,01;0,2;3
45,96;0,71;1,13;0,65;0,33;0,82;-0,25;0,39;-0,24;-0,03;0,23;-0,32;-0,41;49,55;0,79;-0,48;0,11;-0,27;0,69;0,09;-0,02;0,05;0,24;0,1;-0,02;0,18;3
46,23;0,65;0,8;0,27;-0,02;0,34;0,19;0,04;0,39;-0,08;-0,32;0,2;0,41;50,1;0,59;-0,41;0,02;-0,25;0,66;0,05;-0,07;0,09;0,2;0,07;-0,02;0,2;3
41,8;0,97;0,73;0,38;-0,17;0,92;1,01;0,46;-0,03;0,19;0,35;-0,22;-0,65;49,92;0,67;-0,44;0,02;-0,26;0,62;0,1;-0,01;0,09;0,31;0,1;-0,03;0,12;3
40,27;1,48;-0,31;0,3;0,61;1,09;1,28;1,29;0,22;0,01;-0,01;-0,25;0,06;49,57;0,93;-0,56;0,08;-0,14;0,64;0,26;0,16;0,09;0,35;0,09;-0,05;0,08;3
